donor,net_amount
India,-133980.47
Thailand,-49041.29
Brazil,-36606.12
Colombia,-25530.35
Poland,-24516.82
Korea,-23995.28
South Africa,-18655.56
Chile,-7333.56
Kuwait,-6402.46
Romania,-3329.06
Taiwan,-3315.82
Saudi Arabia,-3179.34
Hungary,-2925.0
Czech Republic,-2132.98
Cyprus,-968.15
Slovak Republic,-820.8
Ireland,-639.49
Qatar,-629.26
Lithuania,-514.14
Greece,-486.71
Luxembourg,-443.49
Latvia,-423.5
Estonia,-251.07
United Arab Emirates,-232.57
Slovenia,-225.29
New Zealand,-168.84
Australia,-126.0
Portugal,-106.34
Iceland,-17.89
Liechtenstein,-14.02
Monaco,0.94
Austria,13.8
Finland,485.26
Italy,1434.83
Spain,1452.98
Belgium,1960.1
Denmark,2786.11
Switzerland,2843.76
Canada,3397.69
Norway,4048.81
Sweden,6304.29
Netherlands,8939.65
France,15218.92
United Kingdom,22733.2
Germany,47218.38
Japan,112101.15
United States,116071.81
