country,donated,received,Latitude,Longitude
Saudi Arabia,1698410689.0,4877749103.0,24.65,46.7
Kuwait,1369078319.0,7771540076.0,29.36666666666667,47.966667
Qatar,104519053.0,733783749.0,25.28333333333333,51.533333
Brazil,1134440.0,36607258078.0,-15.783333333333333,-47.916667
Colombia,190795.0,25530536307.0,4.6,-74.083333
Estonia,278942.0,251349503.0,59.43333333333333,24.716667
Hungary,324552.0,2925327491.0,47.5,19.083333
United States,116176338066.0,104524992.0,38.883333,-77.0
Thailand,25461.0,49041317440.0,13.75,100.516667
Liechtenstein,4370700.0,18393083.0,47.13333333333333,9.516667
Slovakia,395574.0,821195623.0,48.15,17.116667
Monaco,941387.0,0.0,43.73333333333333,7.4166669999999995
Chile,564349.0,7334129130.0,-33.45,-70.666667
Taiwan,83737498.0,3399554410.0,25.03333333333333,121.516667
United Arab Emirates,67636986.0,300206472.0,24.466666666666665,54.36666700000001
Belgium,2144445270.0,184346233.0,50.83333333333334,4.3333330000000005
Japan,114182254172.0,2081102258.0,35.68333333333333,139.75
Austria,784068952.0,770267419.0,48.2,16.366667
Italy,3835655974.0,2400826417.0,41.9,12.483333
Germany,47218438821.0,60164.0,52.51666666666666,13.4
Sweden,6364045876.0,59757155.0,59.33333333333334,18.05
Luxembourg,111554022.0,555039832.0,49.6,6.116667
Spain,2014695904.0,561711808.0,40.4,-3.683333
Denmark,2952416405.0,166310586.0,55.66666666666666,12.583333
France,15456459635.0,237540854.0,48.86666666666667,2.333333
Norway,4416814418.0,368001981.0,59.91666666666666,10.75
Portugal,68900866.0,175242606.0,38.71666666666667,-9.133333
Switzerland,2844087953.0,326783.0,46.91666666666666,7.466667
United Kingdom,23690539376.0,957343964.0,51.5,-0.083333
Finland,665953415.0,180695493.0,60.16666666666666,24.933332999999998
Ireland,295144458.0,934638729.0,53.31666666666667,-6.233333
Australia,2446616312.0,2572618261.0,-35.266666666666666,149.133333
Canada,7466338200.0,4068652966.0,45.41666666666666,-75.7
North Korea,1299047720.0,25294323453.0,39.016666666666666,125.75
Greece,32667185.0,519377906.0,37.98333333333333,23.733333
Netherlands,8939647189.0,0.0,52.35,4.9166669999999995
New Zealand,56749885.0,225588310.0,-41.3,174.783333
Cyprus,5599.0,968154947.0,35.166666666666664,33.366667
Czech Republic,8930435.0,2141913341.0,50.08333333333334,14.466667000000001
Slovenia,150028.0,225435200.0,46.05,14.516667000000002
Iceland,172501.0,18060045.0,64.15,-21.95
Poland,403184.0,24517225188.0,52.25,21.0
Romania,0.0,3329059861.0,44.43333333333333,26.1
Latvia,0.0,423495040.0,56.95,24.1
South Africa,0.0,18655555070.0,-25.7,28.216666999999998
India,0.0,133980469969.0,28.6,77.2
Lithuania,0.0,514143270.0,54.68333333333333,25.316667000000002
